Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.486267935,-1.16764307,2.710175037,2.479397297,3.854328739
0.491302778,-0.7836041451,2.965633869,2.076046228,3.703915178
0.496337622,-0.8616957664,3.157007217,1.552880526,3.622244068
0.501378924,-1.456608295,3.142911434,0.9321391582,3.587266845
0.506413768,-2.40347147,2.948135376,0.2269792557,3.810472003
0.511448612,-3.49013567,2.614499092,-0.4882634878,4.388058082
0.516483456,-4.494907856,2.371232986,-1.090164065,5.197634096
0.521518299,-5.285306454,2.257119179,-1.601493597,5.966056741
0.526553143,-5.961988926,2.17730999,-2.059286594,6.672829387
0.531594081,-6.63354063,2.063109398,-2.494175434,7.381137634
0.536628924,-7.327036381,1.950896263,-2.928889275,8.128336283
0.541663768,-8.000324249,1.719768524,-3.430183411,8.872933568
0.546698612,-8.957890511,1.667449951,-4.043087006,9.968487562
0.551733456,-10.36144638,1.787699699,-4.57271862,11.46582735
0.556768299,-11.54661751,1.852347374,-5.137419701,12.77296551
0.561811633,-12.58870888,2.02911377,-5.812767029,14.01360605
0.566846476,-13.55523682,2.356017113,-6.461909294,15.20037939
0.57188132,-14.61660004,2.901125908,-7.158720493,16.53205393
0.576916164,-15.58266544,3.413725853,-7.941268444,17.81956035
0.581951008,-16.63487244,3.982395172,-9.030275345,19.34229369
0.586985851,-17.26996231,4.211468697,-10.21540356,20.50225687
0.592029706,-17.69520187,4.223326683,-11.44584274,21.4933472
0.597064549,-18.34648514,4.437300682,-12.76641083,22.78737369
0.602099393,-19.05438614,4.919603348,-14.14532566,24.23555995
0.607134237,-19.66516685,5.407948494,-15.27427101,25.48073879
0.612169081,-20.54402924,5.940735817,-16.08948708,26.76230696
0.617203924,-22.03290558,6.567896843,-17.09952164,28.65274572
0.622249653,-23.83279419,6.962538719,-18.34246635,30.86948487
0.627284497,-25.34745789,6.722210884,-19.48199844,32.6684864
0.632319341,-26.60101891,6.095842361,-20.04182434,33.85924134
0.637354185,-27.83347893,5.508162498,-19.93717003,34.67755978
0.642389028,-29.02953339,4.993715286,-19.36956406,35.25380849
0.647423872,-29.97950172,4.154995918,-18.52971268,35.48781152
0.652463351,-30.52737427,2.867019653,-17.64400101,35.37585551
0.657498195,-30.98332405,1.426840782,-16.72352219,35.23745788
0.662533039,-31.41126633,-0.08210849762,-15.64268494,35.09085331
0.667567883,-31.29792213,-1.985274792,-14.52822495,34.56256018
0.672602726,-30.32293701,-4.023379803,-13.63821983,33.49132924
0.67763757,-28.3298893,-5.856838226,-12.92085171,31.68333301
0.682680851,-25.04095078,-7.453606606,-12.17269325,28.82325325
0.687715695,-20.55311775,-8.770557404,-11.33089352,25.05478945
0.692750539,-15.36702728,-10.18824959,-10.5882597,21.26163683
0.697785383,-9.170363426,-11.93275261,-9.486558914,17.78991147
0.702820226,-1.170393586,-13.67489052,-7.615018845,15.69589003
0.70785507,8.477989197,-15.73068237,-5.236732483,18.62133282
0.712896372,18.22874641,-18.85155678,-2.499717474,26.34230393
0.717931216,26.94330215,-23.43256569,0.3900947571,35.70964631
0.72296606,35.4988327,-29.43110657,3.783411741,46.26738983
0.728000903,45.50340652,-34.34886932,9.596409798,57.81432271
0.733035747,56.71738434,-35.03649902,17.56006622,68.94036463
0.738070591,68.21723175,-31.56487656,25.583004,79.4003919
0.743113924,70.70272827,-25.57318878,32.57493973,81.93894354
0.748148768,70.03729248,-19.85729218,39.41275024,82.78224008
0.753183612,69.3449173,-17.78711891,45.12795258,84.62642175
0.758218456,68.84078217,-19.72637749,50.64897919,87.71261227
0.763253299,68.30812836,-21.14013672,53.40088654,89.24438617
0.768288143,67.85733032,-19.60669518,51.08156967,87.1686098
0.773334653,67.01190186,-15.3021431,42.39292526,80.75834747
0.778369497,53.4170723,-16.69137764,29.12449837,63.08900146
0.783404393,30.00855637,-23.02378845,14.23881435,40.41475132
0.788439185,11.86605263,-28.22986984,1.001813293,30.63873996
0.793474028,-0.7538537979,-28.74555969,-7.985600948,29.84368141
0.798508872,-7.388511658,-25.56676674,-12.23558044,29.29093878
0.803549289,-7.998692989,-21.26358223,-12.08036137,25.73041293
0.808584133,-5.15568161,-17.37430954,-8.466068268,20.00304969
0.813618976,-2.004951954,-14.17414856,-3.961915016,14.85338649
0.81865382,-0.4623775482,-11.50283527,-0.3804728389,11.51841013
0.823688664,-1.477069378,-9.575580597,1.474190354,9.800342592
0.828723508,-4.741333961,-8.493527412,1.840165377,9.899821425
0.833750174,-8.41634655,-7.756223679,1.404138803,11.53106677
0.838784966,-11.71528435,-7.044791222,0.8379346728,13.69595215
0.84381981,-14.31785011,-6.333369255,0.3628479838,15.66027001
0.848854653,-16.45719337,-4.976545334,-0.4325526357,17.19861387
0.853889497,-18.83987045,-2.342351437,-1.721763015,19.06283811
0.858924341,-21.09731293,0.7640571594,-3.09156847,21.33631158
0.863986581,-22.35742188,3.46487236,-4.125375271,22.99735582
0.869021424,-22.53321075,6.219081402,-5.125094414,23.93092462
0.874056268,-21.76311684,9.458230972,-6.680941105,24.65210664
0.879091112,-20.65564919,12.52836132,-8.918803215,25.75190734
0.884125956,-19.93993568,14.97426224,-12.03775978,27.69002032
0.889160799,-20.35611534,16.87186432,-16.53911591,31.18611217
0.894199445,-22.41554642,18.43954277,-22.62010765,36.79867836
0.899234289,-25.3801918,19.41010475,-29.63223839,43.5772401
0.904269133,-28.35339165,19.40006256,-36.39614868,50.04954429
0.909303976,-32.07360077,18.37558556,-42.68214035,56.46364419
0.91433882,-37.09100342,16.47425461,-49.65655518,64.13202844
0.919373664,-42.67279053,14.31593513,-57.01064682,72.63695272
0.924417049,-46.11790466,12.15103149,-62.07750702,78.28234523
0.929451893,-45.71608353,10.67385769,-63.10633469,78.65304195
0.934486789,-41.79734039,10.7299614,-60.00674057,73.91183024
0.939521581,-36.81072998,12.07383156,-53.87702179,66.35917967
0.944556424,-31.51827812,13.62998962,-46.20491409,57.56798207
0.949591268,-25.84259415,15.21671867,-38.56023026,48.84956046
0.954633299,-20.44965744,16.31657028,-31.87970734,41.23996478
0.959668143,-16.22552872,16.35435295,-26.23324013,34.9129708
0.964702987,-13.81630039,15.61635303,-21.92307472,30.25527795
0.969737831,-13.51212692,14.22713757,-18.86593628,27.2197092
0.974772674,-14.78961372,12.21310997,-16.1321373,25.06269305
0.979807518,-16.41142845,9.552727699,-13.36647797,23.22180707
0.984851685,-18.04747963,6.546953201,-10.99470139,22.12368811
0.989886528,-19.50490189,3.396756172,-8.981283188,21.74034493
0.994921372,-20.4769783,0.2588663101,-7.183410168,21.70195922
0.999956216,-20.08934975,-2.534611702,-5.590473175,21.00618052
1.00499106,-17.07260132,-4.6195364,-4.141863823,18.16504523
1.010025903,-11.2634449,-6.256984711,-2.763982296,13.17780888
1.015068403,-3.835915565,-7.87422514,-1.443542957,8.877020111
1.020103247,3.938760519,-9.790188789,-0.0886015892,10.55317399
1.025138091,9.822384834,-13.02346992,1.194928885,16.35597346
1.030172935,14.26427746,-18.00690651,2.342374802,23.09123239
